Locality,Type of property,Subtype of property,Price,Type of Sale,Number of rooms,Living Area,Kitchen Fully Equiped,Furnished,Open fire,Terrace,Garden,Surface Land,Number of facades,Swimming Pool,State of the building
2600,APARTMENT,APARTMENT,249000,isNewClassified,2,100,No,No,No,8,No,,,No,GOOD
1020,APARTMENT,GROUND_FLOOR,299000,isNewClassified,3,140,No,No,No,,23,,2,No,GOOD
2100,APARTMENT,APARTMENT,235000,isNewClassified,2,90,No,No,No,3,No,,2,No,GOOD
2600,APARTMENT,APARTMENT,275000,isNewClassified,2,80,No,No,No,18,No,,2,No,JUST_RENOVATED
2500,APARTMENT,APARTMENT,240000,isNewClassified,1,69,No,No,No,4,32,,2,No,GOOD
2500,APARTMENT,GROUND_FLOOR,349000,isNewClassified,2,86,No,No,No,15,32,,2,No,JUST_RENOVATED
1180,APARTMENT,PENTHOUSE,635000,isNewClassified,3,153,Yes,No,No,30,No,,2,No,AS_NEW
2600,APARTMENT,APARTMENT,215000,isNewClassified,3,80,No,No,No,5,No,,2,No,TO_BE_DONE_UP
1083,APARTMENT,PENTHOUSE,265000,isNewClassified,2,96,Yes,No,No,10,No,,2,No,JUST_RENOVATED
1050,APARTMENT,APARTMENT,420000,isNewClassified,1,73,Yes,Yes,No,No,No,,2,No,AS_NEW
8560,HOUSE,HOUSE,425000,isNewClassified,3,137,No,No,No,No,No,290,3,No,GOOD
3001,HOUSE,HOUSE,410000,isNewClassified,3,152,No,No,Yes,No,No,224,3,No,TO_RENOVATE
4400,HOUSE,HOUSE,129000,isNewClassified,1,45,No,No,No,,82,198,3,No,JUST_RENOVATED
1350,HOUSE,EXCEPTIONAL_PROPERTY,1200000,isNewClassified,4,612,Yes,No,No,200,2500,4326,,Yes,AS_NEW
9200,HOUSE,HOUSE,239000,isNewClassified,4,191,No,No,No,18,No,96,2,No,
9140,HOUSE,HOUSE,459000,isNewClassified,3,,No,No,No,,No,694,3,No,AS_NEW
9000,APARTMENT,APARTMENT,347000,isNewClassified,1,84,No,No,No,No,55,,,No,
9000,APARTMENT,APARTMENT,465000,isNewClassified,3,145,No,No,No,No,No,,,No,GOOD
9700,HOUSE,HOUSE,385000,isNewClassified,4,196,Yes,No,No,,No,220,3,No,GOOD
4420,HOUSE,HOUSE,209000,isNewClassified,2,106,No,No,No,,No,155,2,No,GOOD
9120,HOUSE,HOUSE,425000,isNewClassified,3,215,No,No,No,,No,0,3,No,AS_NEW
3910,HOUSE,VILLA,1150000,isNewClassified,5,725,No,No,Yes,No,No,3121,4,Yes,GOOD
6660,HOUSE,HOUSE,220000,isNewClassified,4,195,No,No,No,,No,460,4,No,GOOD
8930,HOUSE,MIXED_USE_BUILDING,299000,isNewClassified,3,257,No,No,No,,290,597,2,No,GOOD
8930,APARTMENT,APARTMENT,189000,isNewClassified,3,190,No,No,No,,145,,2,No,GOOD
5500,HOUSE,HOUSE,179000,isNewClassified,4,191,No,No,No,,No,1014,3,No,TO_BE_DONE_UP
4101,HOUSE,HOUSE,162000,isNewClassified,2,98,No,No,No,No,No,60,2,No,TO_BE_DONE_UP
3000,HOUSE,MANSION,945000,isNewClassified,6,275,Yes,No,No,,No,146,2,No,GOOD
2300,APARTMENT,APARTMENT,325000,isNewClassified,3,132,No,No,No,30,No,,,No,AS_NEW
2580,HOUSE,FARMHOUSE,729000,isNewlyBuilt,4,260,Yes,No,No,40,No,14400,4,No,
1180,APARTMENT,GROUND_FLOOR,429000,isNewClassified,2,90,No,No,No,11,36,,3,No,TO_RENOVATE
1040,APARTMENT,FLAT_STUDIO,195000,isNewClassified,0,40,Yes,No,No,No,No,,2,No,AS_NEW
2150,APARTMENT,GROUND_FLOOR,370000,isNewClassified,3,125,Yes,No,No,11,190,,2,No,
2150,APARTMENT,APARTMENT,285000,isNewClassified,2,91,Yes,No,No,15,No,,,No,
6200,APARTMENT,APARTMENT,130000,isNewClassified,4,96,No,No,No,No,No,,,No,
2000,APARTMENT,APARTMENT,375000,isNewClassified,2,131,Yes,No,No,9,No,,2,No,AS_NEW
1480,APARTMENT,LOFT,275000,isNewClassified,2,115,Yes,No,No,No,No,,,No,GOOD
9550,HOUSE,MANSION,499000,isNewPrice,3,400,Yes,No,No,,No,948,4,No,GOOD
1731,HOUSE,HOUSE,475000,isNewClassified,2,127,Yes,No,No,,No,580,4,No,AS_NEW
3221,HOUSE,MIXED_USE_BUILDING,469000,isNewClassified,3,264,No,No,No,No,No,298,3,No,TO_BE_DONE_UP
2600,APARTMENT,APARTMENT,249000,isNewClassified,2,100,No,No,No,8,No,,,No,GOOD
1020,APARTMENT,GROUND_FLOOR,299000,isNewClassified,3,140,No,No,No,,23,,2,No,GOOD
2100,APARTMENT,APARTMENT,235000,isNewClassified,2,90,No,No,No,3,No,,2,No,GOOD
2600,APARTMENT,APARTMENT,275000,isNewClassified,2,80,No,No,No,18,No,,2,No,JUST_RENOVATED
2500,APARTMENT,APARTMENT,240000,isNewClassified,1,69,No,No,No,4,32,,2,No,GOOD
2500,APARTMENT,GROUND_FLOOR,349000,isNewClassified,2,86,No,No,No,15,32,,2,No,JUST_RENOVATED
1180,APARTMENT,PENTHOUSE,635000,isNewClassified,3,153,Yes,No,No,30,No,,2,No,AS_NEW
2600,APARTMENT,APARTMENT,215000,isNewClassified,3,80,No,No,No,5,No,,2,No,TO_BE_DONE_UP
1083,APARTMENT,PENTHOUSE,265000,isNewClassified,2,96,Yes,No,No,10,No,,2,No,JUST_RENOVATED
1050,APARTMENT,APARTMENT,420000,isNewClassified,1,73,Yes,Yes,No,No,No,,2,No,AS_NEW
8560,HOUSE,HOUSE,425000,isNewClassified,3,137,No,No,No,No,No,290,3,No,GOOD
3001,HOUSE,HOUSE,410000,isNewClassified,3,152,No,No,Yes,No,No,224,3,No,TO_RENOVATE
4400,HOUSE,HOUSE,129000,isNewClassified,1,45,No,No,No,,82,198,3,No,JUST_RENOVATED
1350,HOUSE,EXCEPTIONAL_PROPERTY,1200000,isNewClassified,4,612,Yes,No,No,200,2500,4326,,Yes,AS_NEW
9200,HOUSE,HOUSE,239000,isNewClassified,4,191,No,No,No,18,No,96,2,No,
9140,HOUSE,HOUSE,459000,isNewClassified,3,,No,No,No,,No,694,3,No,AS_NEW
9000,APARTMENT,APARTMENT,347000,isNewClassified,1,84,No,No,No,No,55,,,No,
9000,APARTMENT,APARTMENT,465000,isNewClassified,3,145,No,No,No,No,No,,,No,GOOD
9700,HOUSE,HOUSE,385000,isNewClassified,4,196,Yes,No,No,,No,220,3,No,GOOD
4420,HOUSE,HOUSE,209000,isNewClassified,2,106,No,No,No,,No,155,2,No,GOOD
9120,HOUSE,HOUSE,425000,isNewClassified,3,215,No,No,No,,No,0,3,No,AS_NEW
3910,HOUSE,VILLA,1150000,isNewClassified,5,725,No,No,Yes,No,No,3121,4,Yes,GOOD
6660,HOUSE,HOUSE,220000,isNewClassified,4,195,No,No,No,,No,460,4,No,GOOD
8930,HOUSE,MIXED_USE_BUILDING,299000,isNewClassified,3,257,No,No,No,,290,597,2,No,GOOD
8930,APARTMENT,APARTMENT,189000,isNewClassified,3,190,No,No,No,,145,,2,No,GOOD
5500,HOUSE,HOUSE,179000,isNewClassified,4,191,No,No,No,,No,1014,3,No,TO_BE_DONE_UP
4101,HOUSE,HOUSE,162000,isNewClassified,2,98,No,No,No,No,No,60,2,No,TO_BE_DONE_UP
3000,HOUSE,MANSION,945000,isNewClassified,6,275,Yes,No,No,,No,146,2,No,GOOD
2300,APARTMENT,APARTMENT,325000,isNewClassified,3,132,No,No,No,30,No,,,No,AS_NEW
2580,HOUSE,FARMHOUSE,729000,isNewlyBuilt,4,260,Yes,No,No,40,No,14400,4,No,
1180,APARTMENT,GROUND_FLOOR,429000,isNewClassified,2,90,No,No,No,11,36,,3,No,TO_RENOVATE
1040,APARTMENT,FLAT_STUDIO,195000,isNewClassified,0,40,Yes,No,No,No,No,,2,No,AS_NEW
2150,APARTMENT,GROUND_FLOOR,370000,isNewClassified,3,125,Yes,No,No,11,190,,2,No,
2150,APARTMENT,APARTMENT,285000,isNewClassified,2,91,Yes,No,No,15,No,,,No,
6200,APARTMENT,APARTMENT,130000,isNewClassified,4,96,No,No,No,No,No,,,No,
2000,APARTMENT,APARTMENT,375000,isNewClassified,2,131,Yes,No,No,9,No,,2,No,AS_NEW
1480,APARTMENT,LOFT,275000,isNewClassified,2,115,Yes,No,No,No,No,,,No,GOOD
9550,HOUSE,MANSION,499000,isNewPrice,3,400,Yes,No,No,,No,948,4,No,GOOD
1731,HOUSE,HOUSE,475000,isNewClassified,2,127,Yes,No,No,,No,580,4,No,AS_NEW
3221,HOUSE,MIXED_USE_BUILDING,469000,isNewClassified,3,264,No,No,No,No,No,298,3,No,TO_BE_DONE_UP
2600,APARTMENT,APARTMENT,249000,isNewClassified,2,100,No,No,No,8,No,,,No,GOOD
1020,APARTMENT,GROUND_FLOOR,299000,isNewClassified,3,140,No,No,No,,23,,2,No,GOOD
2100,APARTMENT,APARTMENT,235000,isNewClassified,2,90,No,No,No,3,No,,2,No,GOOD
2600,APARTMENT,APARTMENT,275000,isNewClassified,2,80,No,No,No,18,No,,2,No,JUST_RENOVATED
2500,APARTMENT,APARTMENT,240000,isNewClassified,1,69,No,No,No,4,32,,2,No,GOOD
2500,APARTMENT,GROUND_FLOOR,349000,isNewClassified,2,86,No,No,No,15,32,,2,No,JUST_RENOVATED
1180,APARTMENT,PENTHOUSE,635000,isNewClassified,3,153,Yes,No,No,30,No,,2,No,AS_NEW
2600,APARTMENT,APARTMENT,215000,isNewClassified,3,80,No,No,No,5,No,,2,No,TO_BE_DONE_UP
1083,APARTMENT,PENTHOUSE,265000,isNewClassified,2,96,Yes,No,No,10,No,,2,No,JUST_RENOVATED
1050,APARTMENT,APARTMENT,420000,isNewClassified,1,73,Yes,Yes,No,No,No,,2,No,AS_NEW
8560,HOUSE,HOUSE,425000,isNewClassified,3,137,No,No,No,No,No,290,3,No,GOOD
3001,HOUSE,HOUSE,410000,isNewClassified,3,152,No,No,Yes,No,No,224,3,No,TO_RENOVATE
4400,HOUSE,HOUSE,129000,isNewClassified,1,45,No,No,No,,82,198,3,No,JUST_RENOVATED
1350,HOUSE,EXCEPTIONAL_PROPERTY,1200000,isNewClassified,4,612,Yes,No,No,200,2500,4326,,Yes,AS_NEW
9200,HOUSE,HOUSE,239000,isNewClassified,4,191,No,No,No,18,No,96,2,No,
9140,HOUSE,HOUSE,459000,isNewClassified,3,,No,No,No,,No,694,3,No,AS_NEW
9000,APARTMENT,APARTMENT,347000,isNewClassified,1,84,No,No,No,No,55,,,No,
9000,APARTMENT,APARTMENT,465000,isNewClassified,3,145,No,No,No,No,No,,,No,GOOD
9700,HOUSE,HOUSE,385000,isNewClassified,4,196,Yes,No,No,,No,220,3,No,GOOD
4420,HOUSE,HOUSE,209000,isNewClassified,2,106,No,No,No,,No,155,2,No,GOOD
9120,HOUSE,HOUSE,425000,isNewClassified,3,215,No,No,No,,No,0,3,No,AS_NEW
3910,HOUSE,VILLA,1150000,isNewClassified,5,725,No,No,Yes,No,No,3121,4,Yes,GOOD
6660,HOUSE,HOUSE,220000,isNewClassified,4,195,No,No,No,,No,460,4,No,GOOD
8930,HOUSE,MIXED_USE_BUILDING,299000,isNewClassified,3,257,No,No,No,,290,597,2,No,GOOD
8930,APARTMENT,APARTMENT,189000,isNewClassified,3,190,No,No,No,,145,,2,No,GOOD
5500,HOUSE,HOUSE,179000,isNewClassified,4,191,No,No,No,,No,1014,3,No,TO_BE_DONE_UP
4101,HOUSE,HOUSE,162000,isNewClassified,2,98,No,No,No,No,No,60,2,No,TO_BE_DONE_UP
3000,HOUSE,MANSION,945000,isNewClassified,6,275,Yes,No,No,,No,146,2,No,GOOD
2300,APARTMENT,APARTMENT,325000,isNewClassified,3,132,No,No,No,30,No,,,No,AS_NEW
2580,HOUSE,FARMHOUSE,729000,isNewlyBuilt,4,260,Yes,No,No,40,No,14400,4,No,
1180,APARTMENT,GROUND_FLOOR,429000,isNewClassified,2,90,No,No,No,11,36,,3,No,TO_RENOVATE
1040,APARTMENT,FLAT_STUDIO,195000,isNewClassified,0,40,Yes,No,No,No,No,,2,No,AS_NEW
2150,APARTMENT,GROUND_FLOOR,370000,isNewClassified,3,125,Yes,No,No,11,190,,2,No,
2150,APARTMENT,APARTMENT,285000,isNewClassified,2,91,Yes,No,No,15,No,,,No,
6200,APARTMENT,APARTMENT,130000,isNewClassified,4,96,No,No,No,No,No,,,No,
2000,APARTMENT,APARTMENT,375000,isNewClassified,2,131,Yes,No,No,9,No,,2,No,AS_NEW
1480,APARTMENT,LOFT,275000,isNewClassified,2,115,Yes,No,No,No,No,,,No,GOOD
9550,HOUSE,MANSION,499000,isNewPrice,3,400,Yes,No,No,,No,948,4,No,GOOD
1731,HOUSE,HOUSE,475000,isNewClassified,2,127,Yes,No,No,,No,580,4,No,AS_NEW
3221,HOUSE,MIXED_USE_BUILDING,469000,isNewClassified,3,264,No,No,No,No,No,298,3,No,TO_BE_DONE_UP
2600,APARTMENT,APARTMENT,249000,isNewClassified,2,100,No,No,No,8,No,,,No,GOOD
1020,APARTMENT,GROUND_FLOOR,299000,isNewClassified,3,140,No,No,No,,23,,2,No,GOOD
2100,APARTMENT,APARTMENT,235000,isNewClassified,2,90,No,No,No,3,No,,2,No,GOOD
2600,APARTMENT,APARTMENT,275000,isNewClassified,2,80,No,No,No,18,No,,2,No,JUST_RENOVATED
2500,APARTMENT,APARTMENT,240000,isNewClassified,1,69,No,No,No,4,32,,2,No,GOOD
2500,APARTMENT,GROUND_FLOOR,349000,isNewClassified,2,86,No,No,No,15,32,,2,No,JUST_RENOVATED
1180,APARTMENT,PENTHOUSE,635000,isNewClassified,3,153,Yes,No,No,30,No,,2,No,AS_NEW
2600,APARTMENT,APARTMENT,215000,isNewClassified,3,80,No,No,No,5,No,,2,No,TO_BE_DONE_UP
1083,APARTMENT,PENTHOUSE,265000,isNewClassified,2,96,Yes,No,No,10,No,,2,No,JUST_RENOVATED
1050,APARTMENT,APARTMENT,420000,isNewClassified,1,73,Yes,Yes,No,No,No,,2,No,AS_NEW
8560,HOUSE,HOUSE,425000,isNewClassified,3,137,No,No,No,No,No,290,3,No,GOOD
3001,HOUSE,HOUSE,410000,isNewClassified,3,152,No,No,Yes,No,No,224,3,No,TO_RENOVATE
4400,HOUSE,HOUSE,129000,isNewClassified,1,45,No,No,No,,82,198,3,No,JUST_RENOVATED
1350,HOUSE,EXCEPTIONAL_PROPERTY,1200000,isNewClassified,4,612,Yes,No,No,200,2500,4326,,Yes,AS_NEW
9200,HOUSE,HOUSE,239000,isNewClassified,4,191,No,No,No,18,No,96,2,No,
9140,HOUSE,HOUSE,459000,isNewClassified,3,,No,No,No,,No,694,3,No,AS_NEW
9000,APARTMENT,APARTMENT,347000,isNewClassified,1,84,No,No,No,No,55,,,No,
9000,APARTMENT,APARTMENT,465000,isNewClassified,3,145,No,No,No,No,No,,,No,GOOD
9700,HOUSE,HOUSE,385000,isNewClassified,4,196,Yes,No,No,,No,220,3,No,GOOD
4420,HOUSE,HOUSE,209000,isNewClassified,2,106,No,No,No,,No,155,2,No,GOOD
9120,HOUSE,HOUSE,425000,isNewClassified,3,215,No,No,No,,No,0,3,No,AS_NEW
3910,HOUSE,VILLA,1150000,isNewClassified,5,725,No,No,Yes,No,No,3121,4,Yes,GOOD
6660,HOUSE,HOUSE,220000,isNewClassified,4,195,No,No,No,,No,460,4,No,GOOD
8930,HOUSE,MIXED_USE_BUILDING,299000,isNewClassified,3,257,No,No,No,,290,597,2,No,GOOD
8930,APARTMENT,APARTMENT,189000,isNewClassified,3,190,No,No,No,,145,,2,No,GOOD
5500,HOUSE,HOUSE,179000,isNewClassified,4,191,No,No,No,,No,1014,3,No,TO_BE_DONE_UP
4101,HOUSE,HOUSE,162000,isNewClassified,2,98,No,No,No,No,No,60,2,No,TO_BE_DONE_UP
3000,HOUSE,MANSION,945000,isNewClassified,6,275,Yes,No,No,,No,146,2,No,GOOD
2300,APARTMENT,APARTMENT,325000,isNewClassified,3,132,No,No,No,30,No,,,No,AS_NEW
2580,HOUSE,FARMHOUSE,729000,isNewlyBuilt,4,260,Yes,No,No,40,No,14400,4,No,
1180,APARTMENT,GROUND_FLOOR,429000,isNewClassified,2,90,No,No,No,11,36,,3,No,TO_RENOVATE
1040,APARTMENT,FLAT_STUDIO,195000,isNewClassified,0,40,Yes,No,No,No,No,,2,No,AS_NEW
2150,APARTMENT,GROUND_FLOOR,370000,isNewClassified,3,125,Yes,No,No,11,190,,2,No,
2150,APARTMENT,APARTMENT,285000,isNewClassified,2,91,Yes,No,No,15,No,,,No,
6200,APARTMENT,APARTMENT,130000,isNewClassified,4,96,No,No,No,No,No,,,No,
2000,APARTMENT,APARTMENT,375000,isNewClassified,2,131,Yes,No,No,9,No,,2,No,AS_NEW
1480,APARTMENT,LOFT,275000,isNewClassified,2,115,Yes,No,No,No,No,,,No,GOOD
9550,HOUSE,MANSION,499000,isNewPrice,3,400,Yes,No,No,,No,948,4,No,GOOD
1731,HOUSE,HOUSE,475000,isNewClassified,2,127,Yes,No,No,,No,580,4,No,AS_NEW
3221,HOUSE,MIXED_USE_BUILDING,469000,isNewClassified,3,264,No,No,No,No,No,298,3,No,TO_BE_DONE_UP
2600,APARTMENT,APARTMENT,249000,isNewClassified,2,100,No,No,No,8,No,,,No,GOOD
1020,APARTMENT,GROUND_FLOOR,299000,isNewClassified,3,140,No,No,No,,23,,2,No,GOOD
2100,APARTMENT,APARTMENT,235000,isNewClassified,2,90,No,No,No,3,No,,2,No,GOOD
2600,APARTMENT,APARTMENT,275000,isNewClassified,2,80,No,No,No,18,No,,2,No,JUST_RENOVATED
2500,APARTMENT,APARTMENT,240000,isNewClassified,1,69,No,No,No,4,32,,2,No,GOOD
2500,APARTMENT,GROUND_FLOOR,349000,isNewClassified,2,86,No,No,No,15,32,,2,No,JUST_RENOVATED
1180,APARTMENT,PENTHOUSE,635000,isNewClassified,3,153,Yes,No,No,30,No,,2,No,AS_NEW
2600,APARTMENT,APARTMENT,215000,isNewClassified,3,80,No,No,No,5,No,,2,No,TO_BE_DONE_UP
1083,APARTMENT,PENTHOUSE,265000,isNewClassified,2,96,Yes,No,No,10,No,,2,No,JUST_RENOVATED
1050,APARTMENT,APARTMENT,420000,isNewClassified,1,73,Yes,Yes,No,No,No,,2,No,AS_NEW
8560,HOUSE,HOUSE,425000,isNewClassified,3,137,No,No,No,No,No,290,3,No,GOOD
3001,HOUSE,HOUSE,410000,isNewClassified,3,152,No,No,Yes,No,No,224,3,No,TO_RENOVATE
4400,HOUSE,HOUSE,129000,isNewClassified,1,45,No,No,No,,82,198,3,No,JUST_RENOVATED
1350,HOUSE,EXCEPTIONAL_PROPERTY,1200000,isNewClassified,4,612,Yes,No,No,200,2500,4326,,Yes,AS_NEW
9200,HOUSE,HOUSE,239000,isNewClassified,4,191,No,No,No,18,No,96,2,No,
9140,HOUSE,HOUSE,459000,isNewClassified,3,,No,No,No,,No,694,3,No,AS_NEW
9000,APARTMENT,APARTMENT,347000,isNewClassified,1,84,No,No,No,No,55,,,No,
9000,APARTMENT,APARTMENT,465000,isNewClassified,3,145,No,No,No,No,No,,,No,GOOD
9700,HOUSE,HOUSE,385000,isNewClassified,4,196,Yes,No,No,,No,220,3,No,GOOD
4420,HOUSE,HOUSE,209000,isNewClassified,2,106,No,No,No,,No,155,2,No,GOOD
9120,HOUSE,HOUSE,425000,isNewClassified,3,215,No,No,No,,No,0,3,No,AS_NEW
3910,HOUSE,VILLA,1150000,isNewClassified,5,725,No,No,Yes,No,No,3121,4,Yes,GOOD
6660,HOUSE,HOUSE,220000,isNewClassified,4,195,No,No,No,,No,460,4,No,GOOD
8930,HOUSE,MIXED_USE_BUILDING,299000,isNewClassified,3,257,No,No,No,,290,597,2,No,GOOD
8930,APARTMENT,APARTMENT,189000,isNewClassified,3,190,No,No,No,,145,,2,No,GOOD
5500,HOUSE,HOUSE,179000,isNewClassified,4,191,No,No,No,,No,1014,3,No,TO_BE_DONE_UP
4101,HOUSE,HOUSE,162000,isNewClassified,2,98,No,No,No,No,No,60,2,No,TO_BE_DONE_UP
3000,HOUSE,MANSION,945000,isNewClassified,6,275,Yes,No,No,,No,146,2,No,GOOD
2300,APARTMENT,APARTMENT,325000,isNewClassified,3,132,No,No,No,30,No,,,No,AS_NEW
2580,HOUSE,FARMHOUSE,729000,isNewlyBuilt,4,260,Yes,No,No,40,No,14400,4,No,
1180,APARTMENT,GROUND_FLOOR,429000,isNewClassified,2,90,No,No,No,11,36,,3,No,TO_RENOVATE
1040,APARTMENT,FLAT_STUDIO,195000,isNewClassified,0,40,Yes,No,No,No,No,,2,No,AS_NEW
2150,APARTMENT,GROUND_FLOOR,370000,isNewClassified,3,125,Yes,No,No,11,190,,2,No,
2150,APARTMENT,APARTMENT,285000,isNewClassified,2,91,Yes,No,No,15,No,,,No,
6200,APARTMENT,APARTMENT,130000,isNewClassified,4,96,No,No,No,No,No,,,No,
2000,APARTMENT,APARTMENT,375000,isNewClassified,2,131,Yes,No,No,9,No,,2,No,AS_NEW
1480,APARTMENT,LOFT,275000,isNewClassified,2,115,Yes,No,No,No,No,,,No,GOOD
9550,HOUSE,MANSION,499000,isNewPrice,3,400,Yes,No,No,,No,948,4,No,GOOD
1731,HOUSE,HOUSE,475000,isNewClassified,2,127,Yes,No,No,,No,580,4,No,AS_NEW
3221,HOUSE,MIXED_USE_BUILDING,469000,isNewClassified,3,264,No,No,No,No,No,298,3,No,TO_BE_DONE_UP
2600,APARTMENT,APARTMENT,249000,isNewClassified,2,100,No,No,No,8,No,,,No,GOOD
1020,APARTMENT,GROUND_FLOOR,299000,isNewClassified,3,140,No,No,No,,23,,2,No,GOOD
2100,APARTMENT,APARTMENT,235000,isNewClassified,2,90,No,No,No,3,No,,2,No,GOOD
2600,APARTMENT,APARTMENT,275000,isNewClassified,2,80,No,No,No,18,No,,2,No,JUST_RENOVATED
2500,APARTMENT,APARTMENT,240000,isNewClassified,1,69,No,No,No,4,32,,2,No,GOOD
2500,APARTMENT,GROUND_FLOOR,349000,isNewClassified,2,86,No,No,No,15,32,,2,No,JUST_RENOVATED
1180,APARTMENT,PENTHOUSE,635000,isNewClassified,3,153,Yes,No,No,30,No,,2,No,AS_NEW
2600,APARTMENT,APARTMENT,215000,isNewClassified,3,80,No,No,No,5,No,,2,No,TO_BE_DONE_UP
1083,APARTMENT,PENTHOUSE,265000,isNewClassified,2,96,Yes,No,No,10,No,,2,No,JUST_RENOVATED
1050,APARTMENT,APARTMENT,420000,isNewClassified,1,73,Yes,Yes,No,No,No,,2,No,AS_NEW
8560,HOUSE,HOUSE,425000,isNewClassified,3,137,No,No,No,No,No,290,3,No,GOOD
3001,HOUSE,HOUSE,410000,isNewClassified,3,152,No,No,Yes,No,No,224,3,No,TO_RENOVATE
4400,HOUSE,HOUSE,129000,isNewClassified,1,45,No,No,No,,82,198,3,No,JUST_RENOVATED
1350,HOUSE,EXCEPTIONAL_PROPERTY,1200000,isNewClassified,4,612,Yes,No,No,200,2500,4326,,Yes,AS_NEW
9200,HOUSE,HOUSE,239000,isNewClassified,4,191,No,No,No,18,No,96,2,No,
9140,HOUSE,HOUSE,459000,isNewClassified,3,,No,No,No,,No,694,3,No,AS_NEW
9000,APARTMENT,APARTMENT,347000,isNewClassified,1,84,No,No,No,No,55,,,No,
9000,APARTMENT,APARTMENT,465000,isNewClassified,3,145,No,No,No,No,No,,,No,GOOD
9700,HOUSE,HOUSE,385000,isNewClassified,4,196,Yes,No,No,,No,220,3,No,GOOD
4420,HOUSE,HOUSE,209000,isNewClassified,2,106,No,No,No,,No,155,2,No,GOOD
9120,HOUSE,HOUSE,425000,isNewClassified,3,215,No,No,No,,No,0,3,No,AS_NEW
3910,HOUSE,VILLA,1150000,isNewClassified,5,725,No,No,Yes,No,No,3121,4,Yes,GOOD
6660,HOUSE,HOUSE,220000,isNewClassified,4,195,No,No,No,,No,460,4,No,GOOD
8930,HOUSE,MIXED_USE_BUILDING,299000,isNewClassified,3,257,No,No,No,,290,597,2,No,GOOD
8930,APARTMENT,APARTMENT,189000,isNewClassified,3,190,No,No,No,,145,,2,No,GOOD
5500,HOUSE,HOUSE,179000,isNewClassified,4,191,No,No,No,,No,1014,3,No,TO_BE_DONE_UP
4101,HOUSE,HOUSE,162000,isNewClassified,2,98,No,No,No,No,No,60,2,No,TO_BE_DONE_UP
3000,HOUSE,MANSION,945000,isNewClassified,6,275,Yes,No,No,,No,146,2,No,GOOD
2300,APARTMENT,APARTMENT,325000,isNewClassified,3,132,No,No,No,30,No,,,No,AS_NEW
2580,HOUSE,FARMHOUSE,729000,isNewlyBuilt,4,260,Yes,No,No,40,No,14400,4,No,
1180,APARTMENT,GROUND_FLOOR,429000,isNewClassified,2,90,No,No,No,11,36,,3,No,TO_RENOVATE
1040,APARTMENT,FLAT_STUDIO,195000,isNewClassified,0,40,Yes,No,No,No,No,,2,No,AS_NEW
2150,APARTMENT,GROUND_FLOOR,370000,isNewClassified,3,125,Yes,No,No,11,190,,2,No,
2150,APARTMENT,APARTMENT,285000,isNewClassified,2,91,Yes,No,No,15,No,,,No,
6200,APARTMENT,APARTMENT,130000,isNewClassified,4,96,No,No,No,No,No,,,No,
2000,APARTMENT,APARTMENT,375000,isNewClassified,2,131,Yes,No,No,9,No,,2,No,AS_NEW
1480,APARTMENT,LOFT,275000,isNewClassified,2,115,Yes,No,No,No,No,,,No,GOOD
9550,HOUSE,MANSION,499000,isNewPrice,3,400,Yes,No,No,,No,948,4,No,GOOD
1731,HOUSE,HOUSE,475000,isNewClassified,2,127,Yes,No,No,,No,580,4,No,AS_NEW
3221,HOUSE,MIXED_USE_BUILDING,469000,isNewClassified,3,264,No,No,No,No,No,298,3,No,TO_BE_DONE_UP
2600,APARTMENT,APARTMENT,249000,isNewClassified,2,100,No,No,No,8,No,,,No,GOOD
1020,APARTMENT,GROUND_FLOOR,299000,isNewClassified,3,140,No,No,No,,23,,2,No,GOOD
2100,APARTMENT,APARTMENT,235000,isNewClassified,2,90,No,No,No,3,No,,2,No,GOOD
2600,APARTMENT,APARTMENT,275000,isNewClassified,2,80,No,No,No,18,No,,2,No,JUST_RENOVATED
2500,APARTMENT,APARTMENT,240000,isNewClassified,1,69,No,No,No,4,32,,2,No,GOOD
2500,APARTMENT,GROUND_FLOOR,349000,isNewClassified,2,86,No,No,No,15,32,,2,No,JUST_RENOVATED
1180,APARTMENT,PENTHOUSE,635000,isNewClassified,3,153,Yes,No,No,30,No,,2,No,AS_NEW
2600,APARTMENT,APARTMENT,215000,isNewClassified,3,80,No,No,No,5,No,,2,No,TO_BE_DONE_UP
1083,APARTMENT,PENTHOUSE,265000,isNewClassified,2,96,Yes,No,No,10,No,,2,No,JUST_RENOVATED
1050,APARTMENT,APARTMENT,420000,isNewClassified,1,73,Yes,Yes,No,No,No,,2,No,AS_NEW
8560,HOUSE,HOUSE,425000,isNewClassified,3,137,No,No,No,No,No,290,3,No,GOOD
3001,HOUSE,HOUSE,410000,isNewClassified,3,152,No,No,Yes,No,No,224,3,No,TO_RENOVATE
4400,HOUSE,HOUSE,129000,isNewClassified,1,45,No,No,No,,82,198,3,No,JUST_RENOVATED
1350,HOUSE,EXCEPTIONAL_PROPERTY,1200000,isNewClassified,4,612,Yes,No,No,200,2500,4326,,Yes,AS_NEW
9200,HOUSE,HOUSE,239000,isNewClassified,4,191,No,No,No,18,No,96,2,No,
9140,HOUSE,HOUSE,459000,isNewClassified,3,,No,No,No,,No,694,3,No,AS_NEW
9000,APARTMENT,APARTMENT,347000,isNewClassified,1,84,No,No,No,No,55,,,No,
